No.,Date,Time,ADC Value,Status
0,2025-10-05,00:14:04,"1,1,1,1,1",OK
2,2025-10-05,00:14:15,"1,1,1,1,1",OK
3,2025-10-05,00:14:26,"1,1,1,1,1",OK
4,2025-10-05,00:14:35,"0,1,1,1,1",NG
5,2025-10-05,00:15:58,"1,1,1,1,1",OK
6,2025-10-05,00:16:32,"1,1,1,1,1",OK
7,2025-10-05,00:16:41,"1,1,1,1,1",OK
8,2025-10-05,00:23:53,"0,0,0,0,0",OK
9,2025-10-05,00:24:01,"0,0,0,0,0",OK
10,2025-10-05,00:24:13,"0,0,0,0,0",OK
11,2025-10-05,00:24:25,"1,0,0,0,0",NG
12,2025-10-05,00:24:40,"1,0,0,0,0",NG
13,2025-10-05,00:24:49,"0,1,0,0,0",NG
14,2025-10-05,00:25:04,"0,0,0,0,1",NG
15,2025-10-05,00:25:17,"0,0,0,1,0",NG
16,2025-10-05,00:25:35,"0,0,0,1,0",NG
17,2025-10-05,00:25:44,"0,0,0,0,0",OK
18,2025-10-05,00:25:54,"0,0,0,0,0",OK
19,2025-10-05,00:46:43,"0,0,0,0,0",OK
20,2025-10-05,00:46:52,"0,0,0,0,0",OK
21,2025-10-05,00:47:02,"0,0,0,0,0",OK
22,2025-10-05,00:47:12,"0,0,0,0,0",OK
23,2025-10-05,00:47:22,"1,0,0,0,0",NG
24,2025-10-05,00:47:30,"0,1,0,0,0",NG
25,2025-10-05,00:47:38,"0,0,0,0,0",OK
26,2025-10-05,00:47:46,"0,1,0,0,0",NG
27,2025-10-05,00:47:55,"1,0,0,0,0",NG
